lon_range10,catchnum_N,catchlat_N,catchlat_N_std,catchnum_D,catchlat_D,catchlat_D_std,catchnum_J,catchlat_J,catchlat_J_std,catchnum_F,catchlat_F,catchlat_F_std,CMIP6lat_N,CMIP6lat_N_std,CMIP6lat_D,CMIP6lat_D_std,CMIP6lat_J,CMIP6lat_J_std,CMIP6lat_F,CMIP6lat_F_std
-180 - -171,0,,,9,-66.92592592591112,0.08784104613335306,57,-66.59298245615263,0.19489891987453964,1,-70.6166666667,,-60.459732794761656,0.2631719694478202,-61.79374680519104,0.13610648410146256,-63.46389780044556,0.14369040407102088,-64.52678298950195,0.0976497324106598
-170 - -161,0,,,0,,,0,,,0,,,-59.98576722145081,0.07452661947138532,-61.32625803947449,0.15525614380706476,-63.05827658176422,0.2881456489155266,-63.91081500053406,0.2775898623358618
-160 - -151,0,,,0,,,0,,,0,,,-59.08278541564941,0.5655546645914603,-60.16501567363739,0.41329045286566873,-61.98003878593445,0.35018010128183036,-63.49159366289774,0.321627955808305
-150 - -141,0,,,0,,,0,,,0,,,-59.899253434605065,0.6328219265233102,-60.65068371295929,0.3646452890825519,-61.938082814216614,0.2904784026746317,-64.3332602299347,0.5222351635881995
-140 - -131,0,,,0,,,0,,,0,,,-61.56615185207791,0.4052892717275785,-61.76166542900934,0.49256805620382765,-62.52095022201538,0.0927321458040684,-65.91689596176147,0.3960011084528887
-130 - -121,0,,,0,,,0,,,0,,,-62.396848283873666,0.18749570155256964,-63.123285616768726,0.3223177968937307,-63.33268189430237,0.38369454514693885,-66.51520915031433,0.18286919343957125
-120 - -111,0,,,0,,,0,,,0,,,-62.90161443021562,0.1435154793130708,-63.77130346828037,0.29084209934848443,-64.25047465430366,0.2640450179259705,-66.87511415481568,0.1208149043465114
-110 - -101,0,,,1,-59.0,,0,,,0,,,-62.89123313426971,0.12994096864505597,-64.23847975730897,0.10060912263062888,-64.7344608200921,0.18033717940521074,-66.21669383049012,0.15063203249662724
-100 - -91,0,,,1,-61.0,,0,,,0,,,-62.735717605472146,0.05617220480099548,-64.23328893449572,0.059853549826699645,-64.69862097634208,0.145950991236831,-66.03822351031833,0.09842537358303825
-90 - -81,0,,,0,,,0,,,0,,,-62.55698373023224,0.3302543724727318,-63.65366688304478,0.4661016852545975,-64.6998737414678,0.18696876233822016,-65.84832724995083,0.3157211003755042
-80 - -71,5,-44.0,0.0,10,-44.0,0.0,9,-44.0,0.0,6,-44.0,0.0,-61.39322030014462,0.6000863431987945,-61.87973757055071,0.6157734394041189,-63.21612547503578,0.5756801227700626,-64.51047651237911,0.40666172380489596
-70 - -61,4,-62.0,0.0,0,-62.0,0.0,0,-63.0,,0,,,-58.715076948978,0.48641126342720187,-59.58951187271881,0.41633212031507166,-61.30780653423733,0.3956653108434274,-62.86701840824777,0.5423598776206688
-60 - -51,0,,,15,,,1,,,1,-66.0,,-57.790747794606524,0.44609380447402386,-58.7422135343043,0.3786618167542851,-60.19957001209259,0.5197311685809151,-60.57437012848578,0.5774768534430343
-50 - -41,0,,,0,,,3,-63.0,0.0,2,-62.0,0.0,-55.93476147226206,0.6582927483281271,-56.84779509985098,0.7262675780994643,-58.45504542905595,0.9764662381482866,-59.75005055209859,0.7647389866301643
-40 - -31,10,-54.04,0.12649110640673528,82,-54.073170731707314,0.6625891564490796,160,-54.67798353909444,2.1390618080441013,74,-55.1845833333325,2.4853321819918537,-53.99431257312521,0.6776156683544149,-54.53628471157074,0.562321874999735,-55.80520771137661,0.4368750830226928,-58.416816667780566,0.5697917625617592
-30 - -21,4,-56.8,1.0954451150103324,51,-57.76470588235294,1.6563602904455013,193,-60.191343042070876,1.0591486983519185,100,-60.625,1.1164045965961316,-53.308364162948614,0.10440144464780475,-54.41263487984467,0.19207741594279704,-57.25651613871256,0.11706022857281957,-59.24419178167979,0.2893359069435525
-20 - -11,13,-56.159375,1.4193108493335258,179,-57.029047619047624,1.1369980821751677,145,-57.946745562130175,1.0104239741292094,52,-60.522222222222226,1.1127134910350018,-53.58679504521857,0.24281631484755287,-54.653088853698726,0.07332760150678645,-57.57862850295173,0.13055656774498134,-58.89327537483639,0.09157477105537679
-10 - -1,8,-54.145833333333336,1.8916766786539205,180,-56.395759368836096,1.065996859369686,113,-58.41772151898734,0.8103116674324451,13,-60.735507246378255,0.9186109456059555,-53.06518153215027,0.2256265785432202,-54.027957786733,0.15873106148445992,-56.88826921182251,0.5702647797776751,-58.30726869636112,0.5019893643898521
0 - 9,15,-55.714285714285715,1.07459848537112,57,-55.956589147286046,1.0306232994541364,79,-58.698464912280265,1.1174281901904988,73,-59.46875,1.2468213553125784,-53.05597670555454,0.13848074166157381,-53.49248269463434,0.06307456210954715,-56.15969536434089,0.16020590762100598,-57.51371716952684,0.33873572013998443
10 - 19,6,-59.708333333333336,2.32603023769397,114,-55.875,1.402218319740623,405,-58.1141924959217,1.6754701443818087,179,-59.646596858638745,1.5600748483930202,-53.253679902137755,0.3867202667349444,-53.33221299865045,0.13551598144004132,-56.11476749252404,0.12447139041548942,-59.02347141516198,0.4308504848330887
20 - 29,61,-58.588440860211286,1.1820823400097835,1264,-56.91853154305192,1.2929004467289984,1340,-58.03435124864284,2.113057040404917,1123,-61.71075268817204,1.8799240969946178,-54.33677251835802,0.3342114146845465,-54.94420889020114,0.8749837454969736,-57.327383919853204,0.7188226716167407,-60.5197543223699,0.24590267490960815
30 - 39,19,-55.578947368421055,2.43392206288269,604,-57.42411699779238,1.6224746547974822,257,-60.91975308641975,1.4097195662347888,243,-63.23382978723404,1.1869186443643465,-55.61798288822174,0.139667926918549,-56.401117932060245,0.1328799791014195,-58.492548105451796,0.5238087557223587,-61.65673472351498,0.5188586501960494
40 - 49,13,-55.166666666666664,0.38924947208076044,20,-61.01481481481111,1.7404913370698065,41,-63.35193798449535,1.376605408636376,22,-64.55312500000625,1.9862417400750598,-56.370568382475106,0.5239433735914641,-56.9279262390747,0.24707931299856134,-60.20826215214199,0.2414374453507239,-62.90521710978614,0.13228323396281888
50 - 59,11,-56.45454545454545,0.5222329678670942,5,-63.313333333319996,1.4707991025400653,24,-63.76833333333,0.6440210849718473,2,-64.5,0.7071067811865476,-57.165236197423305,0.19341344615681022,-58.11001603220452,0.4604914800474778,-60.47326825194889,0.09569223410449018,-62.32906657324897,0.17215154391747214
60 - 69,4,-54.5,4.358898943540673,23,-61.424358974357695,1.0668148935451387,6,-63.0,0.9999999999999998,1,-62.0,,-57.345228623241006,0.22687559040995253,-58.76074252128601,0.3633274872151747,-60.94646225505405,0.15936426764753697,-62.73774660958183,0.13647795958763903
70 - 79,51,-58.25,2.256248953608472,157,-60.75638297872341,1.3884210638001386,159,-62.46,0.9179395760760364,8,-64.5,1.3093073414159542,-55.073174969355264,1.0441932489060013,-55.82031935850779,0.9464116223719432,-58.791804265975955,0.8757417356170593,-60.90513756275177,0.7106446137023487
80 - 89,588,-57.85843920145191,0.9912877370675248,1265,-59.404761904761905,1.334330539759143,955,-61.75054945054955,1.3545755702728788,300,-62.557663896583655,0.8257430565029371,-54.1249442577362,0.3555813247646139,-54.75247713989681,0.6001494273741472,-58.03950663407644,0.31506854677165397,-59.51115686628553,0.24417699162726134
90 - 99,64,-58.342465753424655,1.1452702020119294,498,-60.44615384615385,1.1263974901274942,355,-61.51792763157895,1.3042894382152794,643,-62.42675296655874,0.878049255435701,-55.12230487976838,0.25569534224824425,-55.84601439899868,0.1292591638119391,-58.537118154101904,0.08647518928159091,-60.183318866623765,0.17427063350987856
100 - 109,99,-60.60173611111042,1.2439337696190258,384,-61.328804347826086,1.1802353641326921,173,-62.14473684210526,1.0698015829947323,84,-61.87755102040816,0.7255070945329821,-55.86586880270047,0.4156545707415768,-56.078076693753566,0.3725892993296954,-58.97441735797459,0.17081284863766452,-60.40362105899387,0.06915950323734242
110 - 119,21,-62.0,0.6708203932499365,90,-63.357142857142854,0.6722708174151638,108,-63.46153846153846,0.5438074068330563,90,-62.87777777777778,0.4699456764632113,-57.37515132050409,0.45344796156468575,-57.95973239659543,0.7561791296961591,-60.077827019161646,0.7565653276233832,-61.02907726764679,0.5835853689029397
120 - 129,0,,,18,-63.529411764705884,0.514495755427525,2,-65.0,0.0,27,-63.61538461538461,0.6733804983414353,-58.32974675602553,0.3669421521851276,-59.29225166544343,0.3680200865744651,-61.87858667373657,0.20228162328367366,-62.77363853965487,0.16524901409986995
130 - 139,0,,,11,-63.90909090909091,0.30151134457776474,0,,,13,,,-59.14143298229895,0.29821075222699994,-60.01632637598419,0.14574369726661135,-61.82676782608032,0.2223443177085601,-62.422272404602595,0.33082304889147085
140 - 149,4,-62.5,0.9999999999999993,22,-64.36818181817728,0.4083749279345439,0,,,0,,,-58.93030209173075,0.7838961006677335,-59.92654564539761,0.36056809262454187,-61.642752051353455,0.3211462143351039,-62.130287421933495,0.09709908838990114
150 - 159,33,-62.677777777757576,0.1535837327526543,1,-64.1333333333,,0,,,0,,,-58.394175946132236,0.23007656395398496,-59.28604496115113,0.17860353222977485,-61.19232625607215,0.11965010526221376,-62.3349422454834,0.4763846104811901
160 - 169,2,-64.0333333333,0.0,0,,,0,,,6,-68.7041666666625,0.1086533733902871,-59.575519826461786,0.3960729895884964,-59.92508645010376,0.5492756635641768,-62.16710679032813,0.2703036145775903,-63.61212261517843,0.36919086409239393
170 - 179,3,-64.0722222222,1.11109722215458,27,-65.6012345679,0.22593234774537027,288,-66.86782407407118,0.4061812032470722,103,-68.12013201320495,0.33402691867735934,-60.3090162057724,0.1845839253069293,-61.321448183059694,0.3058714519636364,-63.08209033698612,0.5190712373877324,-64.5662069357588,0.1823693249914943
